,name,cmp,p/e,mar_cap,div_yld_%,np_qtr,qtr_profit_%,sales_qtr,qtr_saeles_%,roce_%,pat_ann
473,Redtape,759.0,59.52,10489.49,0.0,40.96,18.55,506.86,33.81,31.88,176.24
474,JK Tyre & Indust,401.05,12.93,10456.31,0.5,171.66,82.93,3698.45,1.82,19.16,804.11
475,Thomas Cook (I),221.95,40.32,10444.72,0.19,58.17,908.27,1663.82,26.7,19.05,259.03
476,G N F C,703.4,21.36,10335.84,4.32,127.0,-61.98,2110.0,-7.09,7.72,485.0
477,Puravankara,433.5,244.73,10279.99,1.47,-6.71,-124.72,919.97,136.5,9.9,42.0
478,Zen Technologies,1223.15,81.46,10279.88,0.02,37.58,64.92,141.39,47.47,46.34,126.22
479,CEAT,2527.4,15.14,10247.92,0.48,102.27,1.87,2991.85,4.07,20.06,678.04
480,Latent View,496.0,64.38,10212.8,0.0,45.24,32.24,171.64,21.68,15.23,158.64
481,Alkyl Amines,1995.0,68.15,10198.69,0.5,38.45,-20.95,356.62,-13.54,16.46,149.71
482,Sheela Foam,935.3,61.45,10166.47,0.0,65.15,-14.28,845.15,15.93,9.07,165.33
483,Safari Inds.,2083.05,57.77,10158.47,0.13,43.19,13.42,365.42,20.72,31.22,175.81
484,Electrost.Cast.,170.2,13.67,10120.22,0.54,227.15,153.92,2004.26,7.04,15.95,739.89
485,Nava,697.25,11.7,10117.08,0.86,255.08,-16.83,923.9,4.82,16.25,865.7
486,Craftsman Auto,4768.45,33.2,10074.91,0.24,70.53,-19.74,1105.34,12.75,19.99,303.76
